epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3531,1.04776,3.47695,1.39119,0.205,0.4,0.1539,0.10898,0.66284,4.10054,1.2908,2e-05,2e-05,2e-05
2,71.4711,0.6454,2.45924,1.2275,0.54439,0.95981,0.7404,0.64408,0.47347,3.33271,1.06858,5.802e-05,5.802e-05,5.802e-05
3,113.925,0.6063,1.78288,1.18165,0.81835,1,0.995,0.8955,0.47961,4.07234,1.02838,9.34e-05,9.34e-05,9.34e-05
4,153.889,0.51604,1.18056,1.01082,0.61987,1,0.995,0.90038,0.47747,4.68877,1.03198,0.00012614,0.00012614,0.00012614
5,199.906,0.45585,1.20321,1.0425,0.55061,1,0.93786,0.86357,0.49639,5.24178,1.05028,0.00015624,0.00015624,0.00015624
6,240.747,0.44805,0.98153,1.00452,0.66551,1,0.995,0.955,0.46931,4.65247,1.04939,0.0001837,0.0001837,0.0001837
7,284.305,0.64965,0.87478,1.18745,0.70592,1,0.995,0.895,0.50502,3.11544,1.05673,0.00020852,0.00020852,0.00020852
8,326.049,0.66611,1.372,1.18935,0.97506,1,0.995,0.90183,0.457,1.56282,1.04369,0.0002307,0.0002307,0.0002307
9,366.44,0.42673,0.87993,0.94352,0.98997,1,0.995,0.935,0.42624,1.35951,1.02596,0.00025024,0.00025024,0.00025024
10,418.125,0.55024,1.1964,1.0551,0.99079,1,0.995,0.92183,0.4298,1.25902,1.00482,0.00026714,0.00026714,0.00026714
11,462.1,0.39926,0.68631,0.97081,0.99093,1,0.995,0.92183,0.44815,1.28025,1.00463,0.0002814,0.0002814,0.0002814
12,502.74,0.44939,0.79377,1.03669,0.99143,1,0.995,0.92183,0.4597,1.47732,1.00198,0.00029302,0.00029302,0.00029302
13,546.524,0.591,0.78528,1.14473,0.99286,1,0.995,0.90525,0.46496,1.84323,0.99493,0.000302,0.000302,0.000302
14,588.578,0.60606,0.87796,1.15856,0.99136,1,0.995,0.90038,0.48516,1.84232,1.01266,0.00030834,0.00030834,0.00030834
15,638.446,0.37734,0.7502,0.97411,0.99067,1,0.995,0.915,0.46138,1.38238,1.01291,0.00031204,0.00031204,0.00031204
16,683.307,0.52966,0.67436,1.05118,0.9908,1,0.995,0.91525,0.45082,1.23969,0.99562,0.0003131,0.0003131,0.0003131
17,723.527,0.38824,0.52364,0.93547,0.98995,1,0.995,0.92183,0.42652,1.02178,0.98008,0.00031152,0.00031152,0.00031152
18,765.951,0.3577,0.60901,0.91646,0.98935,1,0.995,0.92183,0.43969,0.96584,0.98075,0.0003073,0.0003073,0.0003073
19,808.788,0.43026,0.55856,0.94179,0.99127,1,0.995,0.925,0.40872,0.78022,0.96953,0.00030044,0.00030044,0.00030044
20,850.897,0.34764,0.53522,0.98924,0.99139,1,0.995,0.939,0.39148,0.74351,0.97228,0.00029094,0.00029094,0.00029094
21,891.784,0.38056,1.03487,0.83141,0.98829,1,0.995,0.91525,0.40279,1.15943,0.9724,0.0002788,0.0002788,0.0002788
22,932.383,0.40332,0.72783,1.02507,1,0.96877,0.995,0.8754,0.46135,1.44607,0.98876,0.00026402,0.00026402,0.00026402
23,979.087,0.30775,0.71207,0.89214,0.98946,0.8,0.895,0.69745,0.52973,1.34884,1.0615,0.0002466,0.0002466,0.0002466
24,1020.12,0.41934,0.67686,0.85353,0.98622,0.8,0.96167,0.84042,0.48083,1.16897,1.06172,0.00022654,0.00022654,0.00022654
25,1060.19,0.36784,0.64472,0.96168,1,0.98074,0.995,0.90038,0.40687,0.9683,0.99384,0.00020384,0.00020384,0.00020384
26,1100.28,0.33957,0.59538,0.91065,0.99223,1,0.995,0.91525,0.40664,0.79841,0.97717,0.0001785,0.0001785,0.0001785
27,1141.28,0.45057,0.61355,1.01521,0.9899,1,0.995,0.9312,0.40873,0.72792,0.97673,0.00015052,0.00015052,0.00015052
28,1180.14,0.27143,0.60475,0.8059,0.9899,1,0.995,0.9312,0.40873,0.72792,0.97673,0.0001199,0.0001199,0.0001199
29,1223.11,0.3743,0.5392,0.83335,0.98955,1,0.995,0.9312,0.40298,0.64686,0.97167,8.664e-05,8.664e-05,8.664e-05
30,1262.23,0.32783,0.5742,0.89185,0.99116,1,0.995,0.91325,0.40592,0.56435,0.96616,5.074e-05,5.074e-05,5.074e-05
