epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46083,1.579,3.75035,1.33926,0.00448,0.6381,0.09455,0.04575,1.1332,3.69556,1.07632,0,0,0
2,9.43574,1.44508,3.79424,1.17538,0.00448,0.6381,0.10471,0.05163,1.11708,3.70238,1.06947,1.22525e-05,1.22525e-05,1.22525e-05
3,10.397,1.63169,3.87935,1.36949,0.00444,0.6381,0.12263,0.061,1.10643,3.69816,1.06732,2.401e-05,2.401e-05,2.401e-05
4,11.2292,1.63046,3.97691,1.28224,0.00446,0.6381,0.14355,0.07239,1.08931,3.6882,1.06764,3.52725e-05,3.52725e-05,3.52725e-05
5,11.9296,1.3658,3.79309,1.25464,0.00353,0.50476,0.1347,0.07502,1.04111,3.69735,1.04838,4.604e-05,4.604e-05,4.604e-05
6,12.7185,1.32697,3.70429,1.31091,0.00394,0.52262,0.14879,0.09335,1.0036,3.69076,1.0367,5.63125e-05,5.63125e-05,5.63125e-05
7,13.3885,1.14314,3.69226,1.20229,0.0048,0.59048,0.15192,0.09396,0.96878,3.68328,1.02457,6.609e-05,6.609e-05,6.609e-05
8,14.0326,1.38143,3.76735,1.17733,0.00525,0.67381,0.15635,0.09652,0.98037,3.67191,1.01705,7.53725e-05,7.53725e-05,7.53725e-05
9,14.7461,1.17026,3.63336,1.16403,0.00535,0.67381,0.1635,0.09766,0.97903,3.66859,1.01252,8.416e-05,8.416e-05,8.416e-05
10,15.396,1.11107,3.48241,1.10769,0.00529,0.67381,0.197,0.11941,0.97804,3.6568,1.0057,9.24525e-05,9.24525e-05,9.24525e-05
11,16.0858,1.21566,3.5381,1.2096,0.00537,0.73929,0.19973,0.11948,0.96208,3.63912,0.99316,0.00010025,0.00010025,0.00010025
12,16.8011,1.31494,3.55207,1.12584,0.00552,0.73929,0.20489,0.12669,0.92108,3.61249,0.97963,0.000107553,0.000107553,0.000107553
13,17.767,0.97537,3.19007,1.07053,0.00564,0.73929,0.20357,0.15818,0.88288,3.58906,0.96702,0.00011436,0.00011436,0.00011436
14,18.9734,1.02929,3.25831,1.02613,0.00583,0.73929,0.21253,0.16585,0.8598,3.56604,0.95606,0.000120672,0.000120672,0.000120672
15,19.907,1.07957,3.15969,1.09584,0.00648,0.75714,0.21663,0.18159,0.86182,3.54323,0.94854,0.00012649,0.00012649,0.00012649
16,20.7004,0.93008,3.04396,1.11205,0.00787,0.79286,0.25039,0.2203,0.85025,3.51697,0.945,0.000131813,0.000131813,0.000131813
17,21.489,0.96736,2.93798,1.00976,0.00806,0.79286,0.26013,0.23051,0.83679,3.4879,0.93476,0.00013664,0.00013664,0.00013664
18,22.2708,1.16279,2.92191,1.0485,0.00806,0.79286,0.26013,0.23051,0.83679,3.4879,0.93476,0.000140972,0.000140972,0.000140972
19,23.0896,0.94117,2.72208,0.99365,0.0088,0.81071,0.30803,0.26919,0.8312,3.46107,0.92713,0.00014481,0.00014481,0.00014481
20,23.8691,0.84214,2.60936,1.0153,0.0088,0.81071,0.30803,0.26919,0.8312,3.46107,0.92713,0.000148153,0.000148153,0.000148153
21,24.7357,0.87923,2.89734,1.04339,0.01039,0.89643,0.30478,0.27249,0.8176,3.43244,0.92271,0.000151,0.000151,0.000151
22,25.4556,0.9037,2.53253,1.008,0.01039,0.89643,0.30478,0.27249,0.8176,3.43244,0.92271,0.000153353,0.000153353,0.000153353
23,26.2147,0.9713,2.43664,1.06393,0.01046,0.89643,0.34933,0.31175,0.81229,3.39139,0.91763,0.00015521,0.00015521,0.00015521
24,26.8407,1.09913,2.20005,1.03197,0.01046,0.89643,0.34933,0.31175,0.81229,3.39139,0.91763,0.000156573,0.000156573,0.000156573
25,27.6254,1.04443,2.38473,1.09976,0.0106,0.89643,0.36605,0.33269,0.78491,3.34056,0.90448,0.00015744,0.00015744,0.00015744
26,28.2983,1.07203,2.0909,1.0816,0.0106,0.89643,0.36605,0.33269,0.78491,3.34056,0.90448,0.000157812,0.000157812,0.000157812
27,28.9869,1.04606,2.47252,1.11889,0.0109,0.91429,0.36148,0.32687,0.7755,3.28378,0.89942,0.00015769,0.00015769,0.00015769
28,29.6454,0.96636,2.22288,1.02918,0.0109,0.91429,0.36148,0.32687,0.7755,3.28378,0.89942,0.000157072,0.000157072,0.000157072
29,30.4201,1.08841,2.0559,0.96103,0.01127,0.96429,0.37096,0.33576,0.78151,3.23666,0.90192,0.00015596,0.00015596,0.00015596
30,31.1954,0.89239,1.95921,0.95688,0.01127,0.96429,0.37096,0.33576,0.78151,3.23666,0.90192,0.000154352,0.000154352,0.000154352
31,32.6336,1.00186,2.02755,0.96018,0.94851,0.05357,0.37851,0.3362,0.77157,3.156,0.89971,0.00015225,0.00015225,0.00015225
32,33.5968,1.03648,1.99021,1.00146,0.94851,0.05357,0.37851,0.3362,0.77157,3.156,0.89971,0.000149652,0.000149652,0.000149652
33,35.1739,0.7157,1.56961,0.94964,1,0.06334,0.53275,0.47578,0.74116,3.06709,0.89183,0.00014656,0.00014656,0.00014656
