epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.053,1.21068,2.34114,1.20114,0.6454,0.44628,0.49744,0.34049,1.19744,1.89057,1.13559,0.000411523,0.000411523,0.000411523
2,66.2286,1.26568,1.65509,1.24553,0.5387,0.44478,0.4617,0.2898,1.26246,1.80216,1.22159,0.000811791,0.000811791,0.000811791
3,99.788,1.33601,1.68634,1.30121,0.57587,0.43176,0.45607,0.2631,1.37096,1.69899,1.30933,0.00119556,0.00119556,0.00119556
4,129.837,1.31607,1.62238,1.29127,0.60846,0.45316,0.49594,0.29817,1.32488,1.74219,1.25646,0.00117575,0.00117575,0.00117575
5,159.642,1.30519,1.55005,1.2668,0.60966,0.40579,0.43359,0.259,1.35937,1.85337,1.25564,0.001151,0.001151,0.001151
6,190.754,1.27095,1.51682,1.2654,0.58914,0.52099,0.53659,0.33936,1.2456,1.60914,1.21593,0.00112625,0.00112625,0.00112625
7,223.629,1.26885,1.47125,1.25746,0.71428,0.49888,0.58863,0.38109,1.25133,1.3914,1.20433,0.0011015,0.0011015,0.0011015
8,253.766,1.221,1.37705,1.21342,0.65853,0.55172,0.61108,0.40106,1.21537,1.37823,1.17862,0.00107675,0.00107675,0.00107675
9,282.478,1.18928,1.37579,1.20983,0.69373,0.53697,0.60354,0.40127,1.19217,1.3551,1.16399,0.001052,0.001052,0.001052
10,314.707,1.22076,1.36418,1.22221,0.61018,0.55454,0.57284,0.36452,1.19665,1.62307,1.19417,0.00102725,0.00102725,0.00102725
11,344.784,1.17225,1.30276,1.19559,0.6901,0.53728,0.59704,0.40163,1.15337,1.39025,1.16977,0.0010025,0.0010025,0.0010025
12,374.115,1.16858,1.28348,1.19662,0.66885,0.50049,0.55136,0.37586,1.14143,1.33113,1.15576,0.00097775,0.00097775,0.00097775
13,403.396,1.14955,1.23206,1.18718,0.73194,0.57043,0.63816,0.42228,1.17167,1.22607,1.15843,0.000953,0.000953,0.000953
14,432.643,1.12315,1.17658,1.17846,0.70887,0.60428,0.6637,0.44983,1.13015,1.2112,1.14377,0.00092825,0.00092825,0.00092825
15,461.917,1.11098,1.15489,1.16638,0.72589,0.59686,0.66576,0.46211,1.10098,1.10355,1.11851,0.0009035,0.0009035,0.0009035
