epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9188,2.74504,7.90094,0.72115,4.88954,2.98197,0,0,0,0,0,0,0,0,3.34921,6.9712,0.68117,4.69428,4.07031,2e-05,2e-05,2e-05
2,151.513,2.76272,7.79556,0.71516,4.4581,2.71656,0.01449,0.5,0.0275,0.0055,0,0,0,0,3.3808,6.93435,0.67984,2.91151,3.50232,5.8812e-05,5.8812e-05,5.8812e-05
3,216.367,1.65609,7.56885,0.71396,2.21487,1.92684,0.3312,1,0.398,0.11673,0,0,0,0,2.79651,6.89783,0.68248,3.67304,2.59693,9.604e-05,9.604e-05,9.604e-05
4,281.153,1.18352,6.82165,0.72363,2.17546,1.62961,0.29222,0.5,0.265,0.14241,0,0,0,0,1.08957,6.68065,0.68374,3.21728,1.56276,0.000131684,0.000131684,0.000131684
5,348.418,1.08954,7.19946,0.72264,2.0433,1.42078,0.32428,1,0.33167,0.19883,0,0,0,0,1.04086,6.41856,0.68777,2.61166,1.2953,0.000165744,0.000165744,0.000165744
6,418.588,0.89843,5.94772,0.74859,1.29112,1.28151,0.39622,1,0.398,0.2984,0,0,0,0,0.92596,5.81807,0.69574,3.16537,1.12559,0.00019822,0.00019822,0.00019822
7,493.666,0.74223,5.11704,0.74065,0.91188,1.17368,0.39633,1,0.4975,0.44775,0,0,0,0,0.53709,5.0309,0.69358,4.46783,0.9801,0.000229112,0.000229112,0.000229112
8,560.728,0.66575,4.28824,0.72636,0.65794,1.10385,0.39503,1,0.4975,0.44775,0,0,0,0,0.51498,4.62157,0.68919,7.07767,0.98716,0.00025842,0.00025842,0.00025842
9,624.924,0.71902,4.16172,0.75661,1.44086,1.24007,0.39518,1,0.4975,0.44775,0.19759,0.5,0.12375,0.01238,0.47225,4.80882,0.69464,6.41737,0.98761,0.000286144,0.000286144,0.000286144
10,691.443,0.71143,3.43679,0.71342,0.87323,1.12203,0.44195,1,0.4975,0.44775,0,0,0,0,0.49273,5.09773,0.69486,4.49841,1.02721,0.000312284,0.000312284,0.000312284
11,756.115,0.65231,3.20367,0.71948,0.79709,1.10516,0.39739,1,0.4975,0.46013,0,0,0,0,0.56758,5.0689,0.69368,3.55907,1.0921,0.00033684,0.00033684,0.00033684
12,831.704,0.52223,3.12539,0.71236,0.83378,1.07593,0.39574,1,0.398,0.3681,0,0,0,0,0.61168,4.8594,0.69447,4.71737,1.14082,0.000359812,0.000359812,0.000359812
13,894.544,0.86986,2.35202,0.83886,0.74746,1.66726,0.39599,1,0.4975,0.46425,0,0,0,0,0.55178,4.74803,0.69659,5.28041,1.08749,0.0003812,0.0003812,0.0003812
14,957.124,0.56522,2.6956,0.82507,0.71405,1.22175,0.38428,1,0.398,0.37057,0,0,0,0,0.58869,4.87829,0.68628,6.50217,1.10659,0.000401004,0.000401004,0.000401004
15,1030.59,0.64094,3.04917,0.67316,1.58965,1.29506,0.27536,1,0.28429,0.16555,0,0,0,0,1.40934,5.99064,0.66832,5.2809,1.65855,0.000419224,0.000419224,0.000419224
16,1093.26,0.47283,2.84383,0.77663,0.6599,1.03762,0.26108,1,0.30786,0.16233,0,0,0,0,1.70517,6.81178,0.66567,4.85622,2.13311,0.00043586,0.00043586,0.00043586
17,1155.73,0.65492,3.02113,0.74278,0.87958,1.05688,0.32184,0.5,0.21763,0.09936,0,0,0,0,2.23518,6.71351,0.67806,8.24365,2.44845,0.000450912,0.000450912,0.000450912
18,1218.93,0.61341,2.74618,0.67659,0.85781,1.14565,0.44565,0.5,0.26288,0.12635,0.44565,0.5,0.2475,0.07425,2.50559,5.85217,0.69023,7.43333,2.76799,0.00046438,0.00046438,0.00046438
19,1282.31,0.99488,2.62582,0.78498,0.9297,1.4875,0.48674,0.5,0.26833,0.17609,0.48674,0.5,0.2475,0.099,2.33154,5.37912,0.69077,8.46601,2.68555,0.000476264,0.000476264,0.000476264
20,1353.97,0.66707,2.24079,0.69792,0.58063,1.04412,0.4594,0.5,0.26833,0.13617,0.4594,0.5,0.2475,0.099,2.2623,4.67876,0.71697,10.9164,2.14763,0.000486564,0.000486564,0.000486564
21,1420.24,0.65552,2.01495,0.80493,0.91186,1.19435,0.23162,0.5,0.13846,0.08261,0.23162,0.5,0.12375,0.06187,1.96921,4.43257,0.7447,9.23438,2.16847,0.00049528,0.00049528,0.00049528
22,1483.77,0.63109,2.20441,0.65682,0.59988,1.17895,0.32549,0.5,0.18113,0.09308,0.32549,0.5,0.165,0.099,1.90649,4.02938,0.739,7.87929,1.8752,0.000502412,0.000502412,0.000502412
23,1546.34,0.67149,2.10764,0.75954,0.6856,1.13489,0.31526,0.47289,0.18387,0.09193,0.31526,0.47289,0.165,0.099,1.69908,3.78801,0.74686,12.227,1.69852,0.00050796,0.00050796,0.00050796
24,1607.46,0.77611,2.20314,0.7055,0.94788,1.09701,0.14127,0.5,0.10523,0.09386,0.14127,0.5,0.0825,0.066,1.53046,3.92327,0.74095,14.3688,1.66239,0.000511924,0.000511924,0.000511924
25,1683.72,0.55407,1.36862,0.81511,0.49399,1.0768,0.16474,1,0.398,0.2485,0.16474,1,0.398,0.3116,1.55367,1.34466,0.76902,22.1637,2.00968,0.000514304,0.000514304,0.000514304
26,1746.55,0.6996,2.0373,0.72775,0.6801,1.07432,0.13609,1,0.4975,0.32325,0.13609,1,0.4975,0.36063,1.3484,1.08576,0.75929,20.1999,2.18981,0.0005151,0.0005151,0.0005151
27,1809.91,0.6486,1.50259,0.752,0.57927,1.04546,0.39331,1,0.745,0.546,0.39331,1,0.745,0.53388,1.17586,1.0004,0.72381,16.922,1.63289,0.000514312,0.000514312,0.000514312
28,1876.99,0.90815,1.5855,0.6974,0.82391,1.44491,0.39331,1,0.745,0.546,0.39331,1,0.745,0.53388,1.17586,1.0004,0.72381,16.922,1.63289,0.00051194,0.00051194,0.00051194
29,1940.46,0.43824,1.79677,0.71393,0.84566,0.99512,0.33908,1,0.4975,0.46013,0.33908,1,0.4975,0.35815,0.67921,1.34281,0.71963,11.1936,1.08713,0.000507984,0.000507984,0.000507984
30,2012.32,0.45933,1.28319,0.72821,0.59082,0.96644,0.48064,1,0.66333,0.55542,0.48064,1,0.66333,0.33133,0.59323,1.18595,0.71737,7.79935,1.04907,0.000502444,0.000502444,0.000502444
31,2071.4,0.72822,1.95184,0.7189,0.74457,1.2824,0.48064,1,0.66333,0.55542,0.48064,1,0.66333,0.33133,0.59323,1.18595,0.71737,7.79935,1.04907,0.00049532,0.00049532,0.00049532
32,2133.16,0.59164,1.57905,0.73116,0.65029,1.14364,0.48938,1,0.66333,0.597,0.48938,1,0.66333,0.31483,0.62668,0.9933,0.72891,6.15586,1.06417,0.000486612,0.000486612,0.000486612
33,2197.28,0.73233,0.86159,0.75061,1.91457,1.12137,0.49439,1,0.745,0.6455,0.49439,1,0.745,0.40963,0.61098,0.73713,0.7275,4.48122,1.03661,0.00047632,0.00047632,0.00047632
